date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:02	19852/19852	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:31%20GMT	https://demo.dashboardpack.com/marketing-html/Pagination.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Pagination.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:02	895/895	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3f-37f%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/8.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/8.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:02	19105/19105	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:36%20GMT	https://demo.dashboardpack.com/marketing-html/data_table.html	F:/nova/template/demo.dashboardpack.com/marketing-html/data_table.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:03	25791/25791	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:33%20GMT	https://demo.dashboardpack.com/marketing-html/bootstrap_table.html	F:/nova/template/demo.dashboardpack.com/marketing-html/bootstrap_table.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:03	1465/1465	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3f-5b9%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/9.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/9.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:03	25111/25111	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:32%20GMT	https://demo.dashboardpack.com/marketing-html/basic_card.html	F:/nova/template/demo.dashboardpack.com/marketing-html/basic_card.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:03	20111/20111	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:42%20GMT	https://demo.dashboardpack.com/marketing-html/theme_card.html	F:/nova/template/demo.dashboardpack.com/marketing-html/theme_card.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:04	24644/24644	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:35%20GMT	https://demo.dashboardpack.com/marketing-html/dargable_card.html	F:/nova/template/demo.dashboardpack.com/marketing-html/dargable_card.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:04	1132/1132	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba40-46c%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/11.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/11.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:04	16459/16459	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:34%20GMT	https://demo.dashboardpack.com/marketing-html/chartjs.html	F:/nova/template/demo.dashboardpack.com/marketing-html/chartjs.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:04	16309/16309	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:31%20GMT	https://demo.dashboardpack.com/marketing-html/apex_chart.html	F:/nova/template/demo.dashboardpack.com/marketing-html/apex_chart.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:05	17505/17505	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:34%20GMT	https://demo.dashboardpack.com/marketing-html/chart_sparkline.html	F:/nova/template/demo.dashboardpack.com/marketing-html/chart_sparkline.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:05	17184/17184	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:31%20GMT	https://demo.dashboardpack.com/marketing-html/am_chart.html	F:/nova/template/demo.dashboardpack.com/marketing-html/am_chart.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:05	16733/16733	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:30%20GMT	https://demo.dashboardpack.com/marketing-html/nvd3_charts.html	F:/nova/template/demo.dashboardpack.com/marketing-html/nvd3_charts.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:05	1067/1067	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba40-42b%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/cubes.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/cubes.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:06	18062/18062	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:34%20GMT	https://demo.dashboardpack.com/marketing-html/chart_box_1.html	F:/nova/template/demo.dashboardpack.com/marketing-html/chart_box_1.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:06	18426/18426	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:31%20GMT	https://demo.dashboardpack.com/marketing-html/profilebox.html	F:/nova/template/demo.dashboardpack.com/marketing-html/profilebox.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:06	2321/2321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba41-911%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/map.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/map.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:07	20544/20544	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:29%20GMT	https://demo.dashboardpack.com/marketing-html/mapjs.html	F:/nova/template/demo.dashboardpack.com/marketing-html/mapjs.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:07	18213/18213	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:44%20GMT	https://demo.dashboardpack.com/marketing-html/vector_map.html	F:/nova/template/demo.dashboardpack.com/marketing-html/vector_map.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:07	1271/1271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3f-4f7%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/10.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/10.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:07	15845/15845	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:29%20GMT	https://demo.dashboardpack.com/marketing-html/login.html	F:/nova/template/demo.dashboardpack.com/marketing-html/login.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:08	16112/16112	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:32%20GMT	https://demo.dashboardpack.com/marketing-html/resister.html	F:/nova/template/demo.dashboardpack.com/marketing-html/resister.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:08	2282/2282	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:41%20GMT	https://demo.dashboardpack.com/marketing-html/error_400.html	F:/nova/template/demo.dashboardpack.com/marketing-html/error_400.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:08	2268/2268	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:41%20GMT	https://demo.dashboardpack.com/marketing-html/error_500.html	F:/nova/template/demo.dashboardpack.com/marketing-html/error_500.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:08	15469/15469	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:42%20GMT	https://demo.dashboardpack.com/marketing-html/forgot_pass.html	F:/nova/template/demo.dashboardpack.com/marketing-html/forgot_pass.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	19283/19283	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:43%20GMT	https://demo.dashboardpack.com/marketing-html/gallery.html	F:/nova/template/demo.dashboardpack.com/marketing-html/gallery.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	508/508	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba38-1fc%22	https://demo.dashboardpack.com/marketing-html/img/icon/icon_search.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/icon/icon_search.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	1179/1179	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba36-49b%22	https://demo.dashboardpack.com/marketing-html/img/icon/bell.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/icon/bell.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	16590/16590	---M--	200	added ('OK')	image/png	etag:%22632dba4b-40ce%22	https://demo.dashboardpack.com/marketing-html/img/staf/2.png	F:/nova/template/demo.dashboardpack.com/marketing-html/img/staf/2.png	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	20788/20788	---M--	200	added ('OK')	image/png	etag:%22632dba4b-5134%22	https://demo.dashboardpack.com/marketing-html/img/staf/4.png	F:/nova/template/demo.dashboardpack.com/marketing-html/img/staf/4.png	(from https://demo.dashboardpack.com/marketing-html/)
09:56:09	16815/16815	---M--	200	added ('OK')	image/png	etag:%22632dba4b-41af%22	https://demo.dashboardpack.com/marketing-html/img/staf/3.png	F:/nova/template/demo.dashboardpack.com/marketing-html/img/staf/3.png	(from https://demo.dashboardpack.com/marketing-html/)
09:56:10	808/808	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba39-328%22	https://demo.dashboardpack.com/marketing-html/img/icon/msg.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/icon/msg.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:10	3077/3077	---M--	200	added ('OK')	image/png	etag:%22632dba32-c05%22	https://demo.dashboardpack.com/marketing-html/img/client_img.png	F:/nova/template/demo.dashboardpack.com/marketing-html/img/client_img.png	(from https://demo.dashboardpack.com/marketing-html/)
